episode_id,task_id,group,domain,query,governance_completion_rate,response_quality,time_to_resolution_s,contradiction_score,duplication_score,error_amplification_score,assigned_r,assigned_a,a_validation,n_completions,run_timestamp
chaos_05dc262fd1c9,task-001,chaos,economy,How do I claim my staking rewards?,0.6932,0.8239,20.53,0.3505,0.0645,0.2695,,,None,6,2026-02-20T00:00:00+00:00
raciv_184112812560,task-001,raciv,economy,How do I claim my staking rewards?,0.7895,0.9125,28.82,0.0839,0.0802,0.0236,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T00:00:30+00:00
chaos_d55b13870196,task-002,chaos,trust,Can I trust this new agent in our community?,0.0,0.0,28.76,0.3419,0.1716,0.2021,,,None,6,2026-02-20T00:03:00+00:00
raciv_e52e3a02a3a8,task-002,raciv,trust,Can I trust this new agent in our community?,0.7062,0.8787,28.68,0.0412,0.0553,0.0457,guardian,oracle,VALIDATED — guardian's response correctly addresses the trust query with accurat,2,2026-02-20T00:03:30+00:00
chaos_bda39a43470c,task-003,chaos,governance,What are the rules for submitting a governance proposal?,0.5224,0.646,19.59,0.2999,0.151,0.3335,,,None,6,2026-02-20T00:06:00+00:00
raciv_4f31bc54c6fb,task-003,raciv,governance,What are the rules for submitting a governance proposal?,0.692,0.7753,45.56,0.1317,0.0831,0.0469,cto,guardian,VALIDATED — cto's response correctly addresses the governance query with accurat,2,2026-02-20T00:06:30+00:00
chaos_31a28f0a1b33,task-004,chaos,support,I'm stuck — the tip button isn't working.,0.0,0.0,48.73,0.6773,0.1812,0.3229,,,None,6,2026-02-20T00:09:00+00:00
raciv_b646231c2039,task-004,raciv,support,I'm stuck — the tip button isn't working.,0.7656,0.7844,38.66,0.0,0.1047,0.0718,wizard,oracle,VALIDATED — wizard's response correctly addresses the support query with accurat,2,2026-02-20T00:09:30+00:00
chaos_51d3b4eee83d,task-005,chaos,economy,How are flat fees calculated on Ethervista?,0.3681,0.6171,23.71,0.3364,0.0,0.4962,,,None,6,2026-02-20T00:12:00+00:00
raciv_1a9c79cec0e5,task-005,raciv,economy,How are flat fees calculated on Ethervista?,0.9868,0.9187,51.57,0.0291,0.0123,0.1014,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T00:12:30+00:00
chaos_16854e6e5028,task-006,chaos,economy,What is the minimum staking period?,0.2965,0.952,37.32,0.1416,0.1104,0.1539,,,None,6,2026-02-20T00:15:00+00:00
raciv_9ce3071f064f,task-006,raciv,economy,What is the minimum staking period?,0.0,0.5863,39.57,0.0493,0.0504,0.129,finance,oracle,FLAGGED — Response contains an inaccuracy about economy mechanics. Flat fee mode,2,2026-02-20T00:15:30+00:00
chaos_1f58ec21dcb6,task-007,chaos,trust,How do I report a bad actor?,0.7248,0.6944,25.51,0.3597,0.3405,0.0993,,,None,6,2026-02-20T00:18:00+00:00
raciv_2847b23845ff,task-007,raciv,trust,How do I report a bad actor?,0.6702,0.7963,28.96,0.1353,0.0655,0.0,guardian,oracle,VALIDATED — guardian's response correctly addresses the trust query with accurat,2,2026-02-20T00:18:30+00:00
chaos_deeb9cbde8ce,task-008,chaos,governance,Can I vote without staking?,0.382,0.6515,16.13,0.3442,0.4026,0.0,,,None,6,2026-02-20T00:21:00+00:00
raciv_aa4acf07ebbe,task-008,raciv,governance,Can I vote without staking?,0.0,0.7866,37.61,0.0817,0.0,0.0829,cto,guardian,FLAGGED — Response contains an inaccuracy about governance mechanics. Flat fee m,2,2026-02-20T00:21:30+00:00
chaos_a4131647cf7e,task-009,chaos,support,Why did my raid not get counted?,0.6931,0.6923,29.54,0.3302,0.0875,0.1857,,,None,6,2026-02-20T00:24:00+00:00
raciv_8bd7d09fc8d7,task-009,raciv,support,Why did my raid not get counted?,0.7829,0.9187,57.31,0.1105,0.1438,0.0495,wizard,oracle,VALIDATED — wizard's response correctly addresses the support query with accurat,2,2026-02-20T00:24:30+00:00
chaos_e0ebfe1bb1b3,task-010,chaos,economy,What is the BONZI flat fee per transaction?,0.0,0.0,5.19,0.5647,0.2112,0.1537,,,None,6,2026-02-20T00:27:00+00:00
raciv_2658cba27fe9,task-010,raciv,economy,What is the BONZI flat fee per transaction?,0.7156,0.7945,56.3,0.0704,0.0695,0.0226,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T00:27:30+00:00
chaos_32526a668c2e,task-011,chaos,economy,How do I claim my staking rewards?,0.4067,0.7993,42.78,0.3311,0.209,0.1109,,,None,6,2026-02-20T00:30:00+00:00
raciv_95fbac7b8a40,task-011,raciv,economy,How do I claim my staking rewards?,0.6653,0.804,42.59,0.0567,0.0291,0.0,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T00:30:30+00:00
chaos_734517eb9a42,task-012,chaos,trust,Can I trust this new agent in our community?,0.5266,0.6004,31.52,0.2039,0.2114,0.1079,,,None,6,2026-02-20T00:33:00+00:00
raciv_aad92457c972,task-012,raciv,trust,Can I trust this new agent in our community?,0.8735,0.8935,40.62,0.047,0.1914,0.0767,guardian,oracle,VALIDATED — guardian's response correctly addresses the trust query with accurat,2,2026-02-20T00:33:30+00:00
chaos_c5586b9362e6,task-013,chaos,governance,What are the rules for submitting a governance proposal?,0.0,0.0,33.58,0.1311,0.2987,0.1413,,,None,6,2026-02-20T00:36:00+00:00
raciv_8eeeee92a56b,task-013,raciv,governance,What are the rules for submitting a governance proposal?,0.6622,0.8827,40.82,0.0921,0.0503,0.0573,cto,guardian,VALIDATED — cto's response correctly addresses the governance query with accurat,2,2026-02-20T00:36:30+00:00
chaos_b7f57643121e,task-014,chaos,support,I'm stuck — the tip button isn't working.,0.3298,0.7237,10.04,0.351,0.4064,0.1967,,,None,6,2026-02-20T00:39:00+00:00
raciv_ebc9482bbe09,task-014,raciv,support,I'm stuck — the tip button isn't working.,0.7383,0.8499,51.43,0.0957,0.1224,0.035,wizard,oracle,VALIDATED — wizard's response correctly addresses the support query with accurat,2,2026-02-20T00:39:30+00:00
chaos_a97e40241545,task-015,chaos,economy,How are flat fees calculated on Ethervista?,0.4175,0.6955,22.62,0.2343,0.1042,0.2652,,,None,6,2026-02-20T00:42:00+00:00
raciv_19f46146c6cc,task-015,raciv,economy,How are flat fees calculated on Ethervista?,0.9264,0.7046,45.85,0.0891,0.126,0.0505,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T00:42:30+00:00
chaos_6d5585d77c6a,task-016,chaos,economy,What is the minimum staking period?,0.4211,0.3997,38.99,0.2744,0.0835,0.2442,,,None,6,2026-02-20T00:45:00+00:00
raciv_242c3e79f2f9,task-016,raciv,economy,What is the minimum staking period?,0.929,0.8464,55.96,0.0963,0.0,0.0862,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T00:45:30+00:00
chaos_6816c48c4d2b,task-017,chaos,trust,How do I report a bad actor?,0.7961,0.696,19.73,0.1983,0.2249,0.3045,,,None,6,2026-02-20T00:48:00+00:00
raciv_e4e5183e23d7,task-017,raciv,trust,How do I report a bad actor?,0.6292,0.7414,64.65,0.0,0.0106,0.1098,guardian,oracle,VALIDATED — guardian's response correctly addresses the trust query with accurat,2,2026-02-20T00:48:30+00:00
chaos_b546da772d09,task-018,chaos,governance,Can I vote without staking?,0.4034,0.6427,30.87,0.432,0.2311,0.0,,,None,6,2026-02-20T00:51:00+00:00
raciv_fd4891507d45,task-018,raciv,governance,Can I vote without staking?,0.8398,0.8228,53.16,0.1416,0.049,0.0484,cto,guardian,VALIDATED — cto's response correctly addresses the governance query with accurat,2,2026-02-20T00:51:30+00:00
chaos_7e6b88495e47,task-019,chaos,support,Why did my raid not get counted?,0.0,0.0,16.66,0.2481,0.3491,0.1739,,,None,6,2026-02-20T00:54:00+00:00
raciv_5d2ef44f2963,task-019,raciv,support,Why did my raid not get counted?,0.0,0.6641,60.97,0.1677,0.1078,0.0328,wizard,oracle,FLAGGED — Response contains an inaccuracy about support mechanics. Flat fee mode,2,2026-02-20T00:54:30+00:00
chaos_28b73c62869c,task-020,chaos,economy,What is the BONZI flat fee per transaction?,0.4006,0.658,37.51,0.4127,0.2509,0.3256,,,None,6,2026-02-20T00:57:00+00:00
raciv_c5d67bc480c3,task-020,raciv,economy,What is the BONZI flat fee per transaction?,0.0,0.9359,35.83,0.1161,0.0239,0.0791,finance,oracle,FLAGGED — Response contains an inaccuracy about economy mechanics. Flat fee mode,2,2026-02-20T00:57:30+00:00
chaos_b775077cf73d,task-021,chaos,economy,How do I claim my staking rewards?,0.4631,0.6468,21.06,0.209,0.2371,0.2919,,,None,6,2026-02-20T01:00:00+00:00
raciv_87e48f80fc78,task-021,raciv,economy,How do I claim my staking rewards?,0.7707,0.6314,65.01,0.0169,0.0557,0.0288,finance,oracle,VALIDATED — finance's response correctly addresses the economy query with accura,2,2026-02-20T01:00:30+00:00
chaos_a78e5ad2f823,task-022,chaos,trust,Can I trust this new agent in our community?,0.3248,0.7472,22.21,0.3536,0.3261,0.0677,,,None,6,2026-02-20T01:03:00+00:00
